@RELATION TodosNos

@ATTRIBUTE  abort	NUMERIC
@ATTRIBUTE  blur	NUMERIC
@ATTRIBUTE  change	NUMERIC
@ATTRIBUTE  click	NUMERIC
@ATTRIBUTE  dblclick	NUMERIC
@ATTRIBUTE  dragdrop	NUMERIC
@ATTRIBUTE  error	NUMERIC
@ATTRIBUTE  focus	NUMERIC
@ATTRIBUTE  keydown	NUMERIC
@ATTRIBUTE  keypress	NUMERIC
@ATTRIBUTE  keyup	NUMERIC
@ATTRIBUTE  load	NUMERIC
@ATTRIBUTE  mousedown	NUMERIC
@ATTRIBUTE  mousemove	NUMERIC
@ATTRIBUTE  mouseout	NUMERIC
@ATTRIBUTE  mouseover	NUMERIC
@ATTRIBUTE  mouseup	NUMERIC
@ATTRIBUTE  move	NUMERIC
@ATTRIBUTE  reset	NUMERIC
@ATTRIBUTE  resize	NUMERIC
@ATTRIBUTE  select	NUMERIC
@ATTRIBUTE  submit	NUMERIC
@ATTRIBUTE  unload  NUMERIC
@ATTRIBUTE  CLASS {NONAT,YESAT}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,0,0,0,NONAT
0,73,0,22,0,0,0,65,10,7,11,9,16,0,4,5,28,0,0,46,0,0,0,NONAT
0,1,0,4,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,2,0,0,0,NONAT
0,6,0,0,0,0,0,26,4,3,2,2,0,47,11,17,0,0,0,0,0,0,0,NONAT
4,7,0,17,0,0,0,6,65,47,61,5,11,0,4,5,21,0,0,13,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,138,30,40,0,0,0,0,0,0,0,NONAT
0,4,0,0,0,0,0,6,0,0,0,0,0,248,30,44,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,13,8,3,10,3,2,196,33,42,14,0,0,0,0,0,0,NONAT
0,12,0,1,0,0,0,19,0,2,1,7,7,311,26,36,12,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,18,4,6,4,6,0,20,5,12,0,0,0,0,0,0,0,NONAT
0,2,0,0,0,0,0,5,0,0,0,2,2,139,7,11,6,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,3,0,0,0,0,0,0,0,NONAT
0,1,0,3,0,0,0,2,1,1,1,2,0,0,0,0,3,0,0,2,0,0,0,NONAT
0,0,0,1,0,0,0,0,0,0,0,0,0,32,4,4,0,0,0,0,0,0,0,NONAT
0,8,0,2,0,0,0,2,20,0,22,1,14,0,1,1,3,0,0,29,0,0,0,NONAT
0,3,0,2,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,2,0,12,4,5,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,NONAT
0,1,0,2,0,0,0,0,2,2,1,0,2,0,0,0,2,0,0,3,0,0,0,NONAT
0,18,0,0,0,0,0,22,0,0,0,0,0,53,26,28,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,10,0,0,0,0,0,0,0,NONAT
0,1,0,0,0,0,0,2,0,0,0,0,0,26,4,5,2,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NONAT
0,1,0,1,0,0,0,2,17,0,13,1,2,0,0,0,1,0,0,1,0,0,0,NONAT
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NONAT
0,10,0,3,0,0,0,3,1,4,4,0,11,0,0,0,6,0,0,25,0,0,0,NONAT
0,0,0,1,0,0,0,0,0,0,0,0,0,36,12,12,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONAT
0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,NONAT
0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,5,0,0,0,NONAT
0,3,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,69,12,19,1,0,0,1,0,0,0,NONAT
0,3,0,1,0,0,0,1,7,0,2,0,4,0,0,0,2,0,0,6,0,0,0,NONAT
0,2,0,5,0,0,0,3,2,3,3,1,6,0,0,0,6,0,0,3,0,0,0,NONAT
0,0,0,0,0,0,0,1,0,0,0,2,5,141,29,39,2,0,0,0,0,0,0,NONAT
0,12,0,0,0,0,0,38,0,0,0,5,0,64,36,54,0,0,0,0,0,0,0,NONAT
0,9,0,2,0,0,0,5,6,5,4,0,7,0,0,0,6,0,0,35,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONAT
0,6,0,10,0,0,0,6,6,0,2,1,0,0,0,0,11,0,0,1,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,NONAT
0,1,0,2,0,0,0,0,43,42,45,0,2,0,0,0,2,0,0,3,0,0,0,NONAT
